,pop_density,flu_shot,covid_shots,bmi_diff
19763,-0.0,1.0,1.0,0.0
13029,-0.0,0.0,1.0,-0.0
19671,-0.5,0.0,1.0,-0.0
18280,-0.8,0.0,1.0,-0.0
17680,0.0,0.0,2.0,0.0
10768,0.0,0.0,2.0,-0.0
11459,-0.8,0.0,0.0,-0.0
11705,-0.0,0.0,2.0,-0.0
18348,-0.3,0.0,1.0,0.0
18387,0.0,0.0,1.0,-0.0
15418,-0.0,0.0,2.0,-0.0
19677,-0.3,0.0,1.0,-0.0
18615,-0.0,0.0,1.0,-0.0
18914,-0.8,0.0,1.0,0.0
13839,-0.5,0.0,1.0,0.0
18849,-2.5,0.0,0.0,-0.0
13892,-0.2,0.0,1.0,-0.0
11897,-0.0,0.0,2.0,-0.0
19649,-0.0,0.0,1.0,-0.0
10422,-0.0,0.0,2.0,0.0
16798,-0.4,0.0,2.0,0.0
19396,-0.2,0.0,1.0,0.0
14641,-0.1,0.0,1.0,0.0
11162,0.0,0.0,1.0,-0.0
15804,-0.2,0.0,1.0,-0.0
15466,-0.0,1.0,1.0,0.0
19133,0.0,0.0,2.0,-0.0
19191,-0.0,0.0,1.0,0.0
18341,-0.0,0.0,2.0,-0.0
14775,-0.4,0.0,1.0,-0.0
10390,-0.9,0.0,1.0,-0.0
19720,-0.7,0.0,1.0,0.0
13929,-0.1,0.0,1.0,-0.0
11038,0.0,0.0,1.0,0.0
18174,0.1,0.0,3.0,0.0
19757,0.1,0.0,2.0,-0.0
17037,-0.3,0.0,1.0,-0.0
19682,-0.0,0.0,2.0,-0.0
16346,-0.1,0.0,1.0,-0.0
14759,0.1,0.0,3.0,-0.0
18169,-0.0,0.0,1.0,-0.0
16774,-0.0,1.0,2.0,-0.0
11525,0.0,0.0,1.0,0.0
16754,-0.3,0.0,2.0,-0.0
11230,0.0,1.0,1.0,-0.0
15917,-0.0,0.0,2.0,-0.0
14581,-0.5,0.0,2.0,-0.0
15382,-0.2,0.0,1.0,0.0
19802,-0.8,0.0,2.0,-0.0
15605,0.0,1.0,1.0,0.0
14100,-0.3,0.0,1.0,0.0
11626,-0.0,0.0,1.0,-0.0
14488,-0.4,0.0,1.0,0.0
17816,0.0,0.0,1.0,0.0
13438,-0.5,0.0,1.0,-0.0
19322,-0.8,0.0,2.0,0.0
18998,-0.0,0.0,2.0,-0.0
14691,-0.7,0.0,1.0,-0.0
17760,0.0,0.0,2.0,-0.0
17895,-0.2,0.0,1.0,0.0
12262,-0.5,0.0,1.0,0.0
13002,-0.1,0.0,1.0,-0.0
13964,-0.1,0.0,1.0,0.0
15257,0.0,0.0,3.0,0.0
11913,-2.0,0.0,0.0,0.0
16289,-0.1,0.0,1.0,0.0
13822,-0.2,0.0,1.0,-0.0
11807,-0.0,0.0,2.0,0.0
19170,0.0,1.0,1.0,0.0
13384,-0.3,0.0,1.0,-0.0
11948,-0.0,0.0,2.0,-0.0
10649,-0.0,0.0,2.0,-0.0
19689,0.0,0.0,2.0,0.0
15042,-0.0,0.0,1.0,0.0
16879,-0.3,0.0,1.0,0.0
19392,-1.3,0.0,0.0,-0.0
16011,-1.0,0.0,2.0,-0.0
19639,-0.9,0.0,1.0,0.0
12108,-0.7,0.0,1.0,-0.0
19311,-0.0,0.0,2.0,0.0
15798,-0.9,0.0,1.0,0.0
14226,-0.1,0.0,1.0,0.0
17745,-0.0,1.0,1.0,0.0
11659,-0.3,0.0,1.0,-0.0
10235,-0.0,0.0,2.0,0.0
16991,0.0,0.0,3.0,0.0
11536,-0.3,0.0,2.0,0.0
19968,-0.0,1.0,1.0,0.0
15244,-0.0,0.0,1.0,0.0
15022,-0.1,0.0,1.0,0.0
19602,0.0,0.0,1.0,-0.0
17943,-0.1,0.0,1.0,-0.0
16905,-0.0,0.0,1.0,-0.0
18055,-0.6,0.0,1.0,0.0
13719,-0.3,0.0,1.0,-0.0
18445,0.0,1.0,1.0,-0.0
15641,-0.0,0.0,2.0,0.0
14434,-0.5,0.0,1.0,-0.0
19428,-0.5,0.0,0.0,-0.0
10045,-0.5,0.0,1.0,-0.0
10734,-0.0,0.0,2.0,0.0
15709,-0.5,0.0,1.0,-0.0
12155,-0.4,0.0,1.0,0.0
12476,0.0,0.0,1.0,-0.0
17666,-0.0,0.0,1.0,-0.0
11689,-0.0,0.0,2.0,0.0
15768,-0.0,0.0,2.0,0.0
15877,-0.0,0.0,2.0,0.0
13226,0.0,0.0,1.0,0.0
12504,-0.2,0.0,1.0,-0.0
18871,0.0,0.0,2.0,-0.0
14658,0.0,0.0,2.0,0.0
12245,-0.0,0.0,1.0,0.0
13210,0.0,0.0,1.0,0.0
15112,0.0,0.0,2.0,0.0
11146,0.0,0.0,1.0,-0.0
15764,-0.1,0.0,2.0,0.0
16384,0.0,0.0,2.0,0.0
14841,-0.1,0.0,1.0,0.0
17667,-0.0,1.0,1.0,0.0
11138,-1.0,1.0,0.0,-0.0
13302,-0.0,0.0,1.0,0.0
14825,-0.0,0.0,2.0,0.0
17130,0.0,0.0,2.0,-0.0
18644,-0.0,0.0,2.0,0.0
10773,0.0,0.0,2.0,0.0
19820,0.0,0.0,2.0,-0.0
19149,-0.0,0.0,1.0,-0.0
11605,-0.0,0.0,2.0,-0.0
13436,0.0,0.0,2.0,-0.0
16725,-0.2,0.0,2.0,-0.0
17826,-0.2,0.0,1.0,-0.0
